Time, Fuel
2, 999
3, 998
8, 997
15, 996
22, 995
29, 994
36, 993
43, 992
50, 991
57, 990
63, 989
70, 988
77, 987
84, 986
91, 985
98, 984
105, 983
112, 982
119, 981
126, 980
133, 979
140, 978
147, 977
154, 976
161, 975
167, 974
174, 973
181, 972
188, 971
195, 970
202, 969
209, 968
216, 967
223, 966
230, 965
237, 964
244, 963
251, 962
258, 961
265, 960
272, 959
279, 958
286, 957
293, 956
300, 955
307, 954
314, 953
320, 952
328, 951
334, 950
341, 949
348, 948
355, 947
362, 946
369, 945
376, 944
383, 943
390, 942
397, 941
404, 940
411, 939
418, 938
425, 937
432, 936
439, 935
445, 934
453, 933
460, 932
466, 931
473, 930
481, 929
488, 928
495, 927
502, 926
508, 925
515, 924
522, 923
529, 922
536, 921
543, 920
550, 919
557, 918
564, 917
570, 916
577, 915
584, 914
591, 913
598, 912
605, 911
612, 910
619, 909
626, 908
633, 907
640, 906
647, 905
654, 904
661, 903
668, 902
675, 901
682, 900
689, 899
696, 898
702, 897
710, 896
716, 895
723, 894
730, 893
737, 892
744, 891
751, 890
758, 889
765, 888
772, 887
779, 886
786, 885
793, 884
801, 883
807, 882
815, 881
821, 880
828, 879
835, 878
842, 877
848, 876
856, 875
862, 874
869, 873
876, 872
883, 871
890, 870
897, 869
904, 868
911, 867
918, 866
925, 865
932, 864
939, 863
946, 862
953, 861
960, 860
967, 859
974, 858
980, 857
988, 856
994, 855
1001, 854
1008, 853
1015, 852
1022, 851
1029, 850
1036, 849
1043, 848
1050, 847
1057, 846
1064, 845
1071, 844
1078, 843
1085, 842
1092, 841
1099, 840
1105, 839
1112, 838
1119, 837
1126, 836
1133, 835
1140, 834
1147, 833
1155, 832
1162, 831
1169, 830
1176, 829
1182, 828
1189, 827
1196, 826
1203, 825
1210, 824
1217, 823
1224, 822
1231, 821
1237, 820
1245, 819
1252, 818
1259, 817
1266, 816
1273, 815
1279, 814
1286, 813
1293, 812
1300, 811
1307, 810
1314, 809
1321, 808
1328, 807
1335, 806
1342, 805
1349, 804
1356, 803
1363, 802
1370, 801
1377, 800
1384, 799
1391, 798
1397, 797
1404, 796
1411, 795
1418, 794
1425, 793
1432, 792
1439, 791
1446, 790
1453, 789
1460, 788
1467, 787
1474, 786
1481, 785
1489, 784
1495, 783
1502, 782
1509, 781
1516, 780
1523, 779
1529, 778
1536, 777
1543, 776
1550, 775
1557, 774
1564, 773
1571, 772
1578, 771
1585, 770
1592, 769
1599, 768
1606, 767
1613, 766
1620, 765
1627, 764
1634, 763
1641, 762
1648, 761
1655, 760
1661, 759
1668, 758
1675, 757
1682, 756
1689, 755
1696, 754
1703, 753
1710, 752
1717, 751
1724, 750
1731, 749
1738, 748
1745, 747
1752, 746
1759, 745
1766, 744
1773, 743
1780, 742
1787, 741
1794, 740
1800, 739
1807, 738
1814, 737
1821, 736
1828, 735
1836, 734
1843, 733
1849, 732
1856, 731
1863, 730
1870, 729
1877, 728
1884, 727
1891, 726
1898, 725
1905, 724
1912, 723
1918, 722
1926, 721
1932, 720
1939, 719
1946, 718
1953, 717
1967, 716.5
1974, 716
1981, 715.5
1988, 715
1995, 714.5
2002, 714
2009, 713.5
2016, 713
2023, 712.5
2030, 712
2037, 711.5
2044, 711
2051, 710.5
2058, 710
2065, 709.5
2072, 709
2078, 708.5
2085, 708
2092, 707.5
2099, 707
2106, 706.5
2113, 706
2121, 705.5
2128, 705
2134, 704.5
2141, 704
2148, 703.5
2155, 703
2162, 702.5
2169, 702
2176, 701.5
2183, 701
2190, 700.5
2196, 700
2203, 699.5
2210, 699
2217, 698.5
2224, 698
2231, 697.5
2238, 697
2245, 696.5
2252, 696
2259, 695.5
2266, 695
2273, 694.5
2280, 694
2287, 693.5
2294, 693
2301, 692.5
2308, 692
2315, 691.5
2322, 691
2328, 690.5
2335, 690
2342, 689.5
2349, 689
2357, 688.5
2363, 688
2370, 687.5
2377, 687
2384, 686.5
2391, 686
2398, 685.5
2405, 685
2412, 684.5
2419, 684
2426, 683.5
2433, 683
2440, 682.5
2447, 682
2454, 681.5
2461, 681
2467, 680.5
2474, 680
2481, 679.5
2489, 679
2495, 678.5
2502, 678
2509, 677.5
2516, 677
2523, 676.5
2530, 676
2537, 675.5
2544, 675
2551, 674.5
2558, 674
2565, 673.5
2572, 673
2579, 672.5
2586, 672
2593, 671.5
2599, 671
2606, 670.5
2613, 670
2620, 669.5
2627, 669
2634, 668.5
2641, 668
2648, 667.5
2655, 667
2662, 666.5
2669, 666
2676, 665.5
2683, 665
2690, 664.5
2697, 664
2704, 663.5
2711, 663
2718, 662.5
2725, 662
2732, 661.5
2738, 661
2745, 660.5
2752, 660
2759, 659.5
2766, 659
2773, 658.5
2780, 658
2787, 657.5
2794, 657
2801, 656.5
2808, 656
2815, 655.5
2822, 655
2829, 654.5
2836, 654
2843, 653.5
2850, 653
2857, 652.5
2864, 652
2871, 651.5
2878, 651
2885, 650.5
2892, 650
2898, 649.5
2905, 649
2912, 648.5
2919, 648
2926, 647.5
2933, 647
2940, 646.5
2947, 646
2954, 645.5
2961, 645
2968, 644.5
2975, 644
2982, 643.5
2989, 643
2996, 642.5
3003, 642
3010, 641.5
3016, 641
3024, 640.5
3030, 640
3037, 639.5
3044, 639
3051, 638.5
3058, 638
3065, 637.5
3072, 637
3079, 636.5
3086, 636
3093, 635.5
3100, 635
3107, 634.5
3114, 634
3121, 633.5
3128, 633
3135, 632.5
3142, 632
3148, 631.5
3156, 631
3162, 630.5
3169, 630
3176, 629.5
3183, 629
3190, 628.5
3197, 628
3204, 627.5
3211, 627
3218, 626.5
3225, 625.5
3232, 624.5
3239, 623.5
3246, 622.5
3253, 621.5
3260, 620.5
3267, 619.5
3274, 618.5
3281, 617.5
3287, 616.5
3295, 615.5
3301, 614.5
3308, 613.5
3315, 612.5
3322, 611.5
3329, 610.5
3336, 609.5
3343, 608.5
3350, 607.5
3357, 606.5
3364, 605.5
3371, 604.5
3378, 603.5
3385, 602.5
3392, 601.5
3399, 600.5
3406, 599.5
3413, 598.5
3420, 597.5
3427, 596.5
3433, 595.5
3440, 594.5
3447, 593.5
3454, 592.5
3461, 591.5
3468, 590.5
3475, 589.5
3482, 588.5
3489, 587.5
3496, 586.5
3503, 585.5
3510, 584.5
3517, 583.5
3524, 582.5
3531, 581.5
3538, 580.5
3545, 579.5
3551, 578.5
3559, 577.5
3565, 576.5
3572, 575.5
3579, 574.5
3586, 573.5
3593, 572.5
3600, 571.5
3607, 570.5
3614, 569.5
3621, 568.5
3628, 567.5
3635, 566.5
3642, 565.5
3649, 564.5
3656, 563.5
3663, 562.5
3670, 561.5
3676, 560.5
3683, 559.5
3691, 558.5
3697, 557.5
3704, 556.5
3711, 555.5
3718, 554.5
3725, 553.5
3732, 552.5
3739, 551.5
3746, 550.5
3753, 549.5
3760, 548.5
3767, 547.5
3774, 546.5
3781, 545.5
3788, 544.5
3795, 543.5
3802, 542.5
3809, 541.5
3816, 540.5
3823, 539.5
3829, 538.5
3836, 537.5
3843, 536.5
3850, 535.5
3857, 534.5
3864, 533.5
3871, 532.5
3878, 531.5
3885, 530.5
3892, 529.5
3899, 528.5
3906, 527.5
3913, 526.5
3920, 525.5
3927, 524.5
3934, 523.5
3940, 522.5
3947, 521.5
3955, 520.5
3961, 519.5
3968, 518.5
3975, 517.5
3982, 516.5
3989, 515.5
3996, 514.5
4003, 513.5
4010, 512.5
4017, 511.5
4024, 510.5
4031, 509.5
4038, 508.5
4045, 507.5
4052, 506.5
4059, 505.5
4066, 504.5
4073, 503.5
4080, 502.5
4086, 501.5
4094, 500.5
4100, 499.5
4107, 498.5
4114, 497.5
4121, 496.5
4128, 495.5
4135, 494.5
4142, 493.5
4149, 492.5
4156, 491.5
4163, 490.5
4170, 489.5
4177, 488.5
4184, 487.5
4191, 486.5
4198, 485.5
4205, 484.5
4211, 483.5
4218, 482.5
4226, 481.5
4232, 480.5
4239, 479.5
4246, 478.5
4253, 477.5
4260, 476.5
4267, 475.5
4274, 474.5
4288, 474
4295, 473.5
4302, 473
4309, 472.5
4316, 472
4323, 471.5
4330, 471
4337, 470.5
4343, 470
4350, 469.5
4358, 469
4364, 468.5
4371, 468
4378, 467.5
4385, 467
4392, 466.5
4399, 466
4406, 465.5
4413, 465
4420, 464.5
4427, 464
4434, 463.5
4441, 463
4448, 462.5
4455, 462
4462, 461.5
4469, 461
4475, 460.5
4482, 460
4490, 459.5
4496, 459
4503, 458.5
4510, 458
4517, 457.5
4524, 457
4531, 456.5
4538, 456
4545, 455.5
4552, 455
4559, 454.5
4566, 454
4573, 453.5
4580, 453
4587, 452.5
4594, 452
4601, 451.5
4608, 451
4615, 450.5
4622, 450
4628, 449.5
4635, 449
4642, 448.5
4649, 448
4656, 447.5
4663, 447
4670, 446.5
4677, 446
4684, 445.5
4691, 445
4698, 444.5
4705, 444
4712, 443.5
4719, 443
4726, 442.5
4733, 442
4740, 441.5
4747, 441
4753, 440.5
4761, 440
4767, 439.5
4774, 439
4781, 438.5
4788, 438
4795, 437.5
4802, 437
4809, 436.5
4816, 436
4823, 435.5
4830, 435
4837, 434.5
4844, 434
4851, 433.5
4858, 433
4865, 432.5
4872, 432
4879, 431.5
4886, 431
4893, 430.5
4899, 430
4906, 429.5
4913, 429
4920, 428.5
4927, 428
4934, 427.5
4941, 427
4948, 426.5
4955, 426
4962, 425.5
4969, 425
4976, 424.5
4983, 424
4990, 423.5
4997, 423
5004, 422.5
5011, 422
5018, 421.5
5025, 421
5032, 420.5
5038, 420
5045, 419.5
5052, 419
5060, 418.5
5066, 418
5073, 417.5
5080, 417
5087, 416.5
5094, 416
5101, 415.5
5108, 415
5115, 414.5
5122, 414
5129, 413.5
5136, 413
5143, 412.5
5150, 412
5157, 411.5
5164, 411
5170, 410.5
5177, 410
5184, 409.5
5191, 409
5198, 408.5
5205, 408
5212, 407.5
5219, 407
5226, 406.5
5233, 406
5240, 405.5
5247, 405
5254, 404.5
5261, 404
5268, 403.5
5275, 403
5281, 402.5
5289, 402
5295, 401.5
5302, 401
5309, 400.5
5316, 400
5323, 399.5
5330, 399
5337, 398.5
5344, 398
5351, 397.5
5358, 397
5365, 396.5
5372, 396
5379, 395.5
5386, 395
5393, 394.5
5400, 394
5407, 393.5
5414, 393
5420, 392.5
5428, 392
5434, 391.5
5441, 391
