Iteration, Time, Fuel
1, 157, 999
1, 157, 998.5
1, 213, 997.5
1, 213, 997
1, 259, 996
1, 259, 995.5
1, 302, 994.5
1, 302, 994
1, 358, 993
1, 358, 992.5
1, 409, 991.5
1, 409, 991
1, 451, 990
1, 451, 989.5
1, 495, 988.5
1, 495, 988
1, 540, 987
1, 540, 986.5
1, 587, 985.5
1, 587, 985
1, 621, 984
1, 621, 983.5
1, 652, 982.5
1, 652, 982
1, 684, 981
1, 684, 980.5
1, 721, 979.5
1, 721, 979
1, 751, 978
1, 751, 977.5
1, 781, 976.5
1, 781, 976
1, 809, 975
1, 809, 974.5
1, 838, 973.5
1, 838, 973
1, 868, 972
1, 868, 971.5
1, 897, 970.5
1, 897, 970
1, 926, 969
1, 926, 968.5
1, 955, 967.5
1, 955, 967
1, 983, 966
1, 983, 965.5
1, 1018, 964.5
1, 1018, 964
1, 1046, 963
1, 1046, 962.5
1, 1075, 961.5
1, 1075, 961
1, 1105, 960
1, 1105, 959.5
1, 1133, 958.5
1, 1133, 958
1, 1161, 957
1, 1161, 956.5
1, 1187, 955.5
1, 1187, 955
1, 1214, 954
1, 1214, 953.5
1, 1243, 952.5
1, 1243, 952
1, 1271, 951
1, 1271, 950.5
1, 1301, 949.5
1, 1301, 949
1, 1330, 948
1, 1330, 947.5
1, 1363, 946.5
1, 1363, 946
1, 1393, 945
1, 1393, 944.5
1, 1422, 943.5
1, 1422, 943
1, 1450, 942
1, 1450, 941.5
1, 1479, 940.5
1, 1479, 940
1, 1506, 939
1, 1506, 938.5
1, 1535, 937.5
1, 1535, 937
1, 1563, 936
1, 1563, 935.5
1, 1593, 934.5
1, 1593, 934
1, 1636, 933
1, 1636, 932.5
1, 1693, 931.5
1, 1693, 931
1, 1724, 930
1, 1724, 929.5
1, 1753, 928.5
1, 1753, 928
1, 1784, 927
1, 1784, 926.5
1, 1815, 925.5
1, 1815, 925
1, 1844, 924
1, 1844, 923.5
1, 1874, 922.5
1, 1874, 922
1, 1911, 921
1, 1911, 920.5
1, 1949, 919.5
1, 1949, 919
1, 1978, 918
1, 1978, 917.5
1, 2009, 916.5
1, 2009, 916
1, 2039, 915
1, 2039, 914.5
1, 2071, 913.5
1, 2071, 913
1, 2102, 912
1, 2102, 911.5
1, 2132, 910.5
1, 2132, 910
1, 2164, 909
1, 2164, 908.5
1, 2195, 907.5
1, 2195, 907
1, 2224, 906
1, 2224, 905.5
1, 2254, 904.5
1, 2254, 904
1, 2283, 903
1, 2283, 902.5
1, 2314, 901.5
1, 2314, 901
1, 2344, 900
1, 2344, 899.5
1, 2374, 898.5
1, 2374, 898
1, 2405, 897
1, 2405, 896.5
1, 2436, 895.5
1, 2436, 895
1, 2467, 894
1, 2467, 893.5
1, 2499, 892.5
1, 2499, 892
1, 2529, 891
1, 2529, 890.5
1, 2560, 889.5
1, 2560, 889
1, 2590, 888
1, 2590, 887.5
1, 2621, 886.5
1, 2621, 886
1, 2654, 885
1, 2654, 884.5
1, 2685, 883.5
1, 2685, 883
1, 2716, 882
1, 2716, 881.5
1, 2747, 880.5
1, 2747, 880
1, 2779, 879
1, 2779, 878.5
1, 2810, 877.5
1, 2810, 877
1, 2842, 876
1, 2842, 875.5
1, 2873, 874.5
1, 2873, 874
1, 2905, 873
1, 2905, 872.5
1, 2935, 871.5
1, 2935, 871
1, 2964, 870
1, 2964, 869.5
1, 2997, 868.5
1, 2997, 868
1, 3030, 867
1, 3030, 866.5
1, 3062, 865.5
1, 3062, 865
1, 3092, 864
1, 3092, 863.5
1, 3125, 862.5
1, 3125, 862
1, 3156, 861
1, 3156, 860.5
1, 3187, 859.5
1, 3187, 859
1, 3215, 858
1, 3215, 857.5
1, 3246, 856.5
1, 3246, 856
1, 3276, 855
1, 3276, 854.5
1, 3306, 853.5
1, 3306, 853
1, 3337, 852
1, 3337, 851.5
1, 3369, 850.5
1, 3369, 850
1, 3401, 849
1, 3401, 848.5
1, 3433, 847.5
1, 3433, 847
1, 3475, 846
1, 3475, 845.5
1, 3517, 844.5
1, 3517, 844
1, 3555, 843
1, 3555, 842.5
1, 3587, 841.5
1, 3587, 841
1, 3617, 840
1, 3617, 839.5
1, 3648, 838.5
1, 3648, 838
1, 3680, 837
1, 3680, 836.5
1, 3712, 835.5
1, 3712, 835
1, 3743, 834
1, 3743, 833.5
1, 3776, 832.5
1, 3776, 832
1, 3809, 831
1, 3809, 830.5
1, 3841, 829.5
1, 3841, 829
1, 3871, 828
1, 3871, 827.5
1, 3902, 826.5
1, 3902, 826
1, 3933, 825
1, 3933, 824.5
1, 3964, 823.5
1, 3964, 823
1, 3994, 822
1, 3994, 821.5
1, 4026, 820.5
1, 4026, 820
1, 4058, 819
1, 4058, 818.5
1, 4090, 817.5
1, 4090, 817
1, 4122, 816
1, 4122, 815.5
1, 4154, 814.5
1, 4154, 814
1, 4185, 813
1, 4185, 812.5
1, 4216, 811.5
1, 4216, 811
1, 4245, 810
1, 4245, 809.5
1, 4277, 808.5
1, 4277, 808
1, 4308, 807
1, 4308, 806.5
1, 4356, 805.5
1, 4356, 805
1, 4400, 804
1, 4400, 803.5
1, 4433, 802.5
1, 4433, 802
1, 4464, 801
1, 4464, 800.5
1, 4498, 799.5
1, 4498, 799
1, 4530, 798
1, 4530, 797.5
1, 4562, 796.5
1, 4562, 796
1, 4593, 795
1, 4593, 794.5
1, 4624, 793.5
1, 4624, 793
1, 4655, 792
1, 4655, 791.5
1, 4685, 790.5
1, 4685, 790
1, 4715, 789
1, 4715, 788.5
1, 4746, 787.5
1, 4746, 787
1, 4778, 786
1, 4778, 785.5
1, 4809, 784.5
1, 4809, 784
1, 4839, 783
1, 4839, 782.5
1, 4870, 781.5
1, 4870, 781
1, 4901, 780
1, 4901, 779.5
1, 4934, 778.5
1, 4934, 778
1, 4966, 777
1, 4966, 776.5
1, 4998, 775.5
1, 4998, 775
1, 5026, 774
1, 5026, 773.5
1, 5057, 772.5
1, 5057, 772
1, 5088, 771
1, 5088, 770.5
1, 5119, 769.5
1, 5119, 769
1, 5151, 768
1, 5151, 767.5
1, 5183, 766.5
1, 5183, 766
1, 5214, 765
1, 5214, 764.5
1, 5245, 763.5
1, 5245, 763
1, 5276, 762
1, 5276, 761.5
1, 5309, 760.5
1, 5309, 760
1, 5340, 759
1, 5340, 758.5
1, 5371, 757.5
1, 5371, 757
1, 5401, 756
1, 5401, 755.5
1, 5439, 754.5
1, 5439, 754
1, 5469, 753
1, 5469, 752.5
1, 5501, 751.5
1, 5501, 751
1, 5530, 750
1, 5530, 749.5
1, 5561, 748.5
1, 5561, 748
1, 5590, 747
1, 5590, 746.5
1, 5624, 745.5
1, 5624, 745
1, 5660, 744
1, 5660, 743.5
1, 5693, 742.5
1, 5693, 742
1, 5724, 741
1, 5724, 740.5
1, 5754, 739.5
1, 5754, 739
1, 5784, 738
1, 5784, 737.5
1, 5814, 736.5
1, 5814, 736
1, 5846, 735
1, 5846, 734.5
1, 5875, 733.5
1, 5875, 733
1, 5904, 732
1, 5904, 731.5
1, 5934, 730.5
1, 5934, 730
1, 5959, 729
1, 5959, 728.5
1, 5989, 727.5
1, 5989, 727
1, 6019, 726
1, 6019, 725.5
1, 6049, 724.5
1, 6049, 724
1, 6081, 723
1, 6081, 722.5
1, 6111, 721.5
1, 6111, 721
1, 6141, 720
1, 6141, 719.5
1, 6172, 718.5
1, 6172, 718
1, 6203, 717
1, 6203, 716.5
1, 6234, 715.5
1, 6234, 715
1, 6267, 714
1, 6267, 713.5
1, 6309, 712.5
1, 6309, 712
1, 6349, 711
1, 6349, 710.5
1, 6382, 709.5
1, 6382, 709
1, 6411, 708
1, 6411, 707.5
1, 6441, 706.5
1, 6441, 706
1, 6471, 705
1, 6471, 704.5
1, 6503, 703.5
1, 6503, 703
1, 6534, 702
1, 6534, 701.5
1, 6563, 700.5
1, 6563, 700
1, 6602, 699
1, 6602, 698.5
1, 6667, 697.5
1, 6667, 697
1, 6699, 696
1, 6699, 695.5
1, 6730, 694.5
1, 6730, 694
1, 6760, 693
1, 6760, 692.5
1, 6791, 691.5
1, 6791, 691
1, 6825, 690
1, 6825, 689.5
1, 6854, 688.5
1, 6854, 688
1, 6885, 687
